archivo,ruta,carpeta,elemento,estado,etiqueta,ancho_px,alto_px,formato,modo_color,tamaño_bytes,imagen_valida,tamaño_kb,ruta_limpia,estrato
7005-172.jpg,/workspace/SDNET2018/D/UD/7005-172.jpg,UD,D,Sin grieta,0,256,256,JPEG,RGB,8889,True,8.6806640625,/workspace/SDNET2018_LIMPIO/D/UD/7005-172.jpg,D_0
7140-101.jpg,/workspace/SDNET2018/W/UW/7140-101.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,7581,True,7.4033203125,/workspace/SDNET2018_LIMPIO/W/UW/7140-101.jpg,W_0
7084-96.jpg,/workspace/SDNET2018/W/CW/7084-96.jpg,CW,W,Con grieta,1,256,256,JPEG,RGB,5898,True,5.759765625,/workspace/SDNET2018_LIMPIO/W/CW/7084-96.jpg,W_1
076-119.jpg,/workspace/SDNET2018/P/CP/076-119.jpg,CP,P,Con grieta,1,256,256,JPEG,RGB,15864,True,15.4921875,/workspace/SDNET2018_LIMPIO/P/CP/076-119.jpg,P_1
7093-213.jpg,/workspace/SDNET2018/W/UW/7093-213.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,5447,True,5.3193359375,/workspace/SDNET2018_LIMPIO/W/UW/7093-213.jpg,W_0
7123-247.jpg,/workspace/SDNET2018/W/UW/7123-247.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,3093,True,3.0205078125,/workspace/SDNET2018_LIMPIO/W/UW/7123-247.jpg,W_0
7108-113.jpg,/workspace/SDNET2018/W/UW/7108-113.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,6285,True,6.1376953125,/workspace/SDNET2018_LIMPIO/W/UW/7108-113.jpg,W_0
7080-225.jpg,/workspace/SDNET2018/W/UW/7080-225.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,4945,True,4.8291015625,/workspace/SDNET2018_LIMPIO/W/UW/7080-225.jpg,W_0
7069-188.jpg,/workspace/SDNET2018/W/UW/7069-188.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,7072,True,6.90625,/workspace/SDNET2018_LIMPIO/W/UW/7069-188.jpg,W_0
7094-221.jpg,/workspace/SDNET2018/W/UW/7094-221.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,5056,True,4.9375,/workspace/SDNET2018_LIMPIO/W/UW/7094-221.jpg,W_0
060-25.jpg,/workspace/SDNET2018/P/UP/060-25.jpg,UP,P,Sin grieta,0,256,256,JPEG,RGB,13184,True,12.875,/workspace/SDNET2018_LIMPIO/P/UP/060-25.jpg,P_0
7035-119.jpg,/workspace/SDNET2018/D/UD/7035-119.jpg,UD,D,Sin grieta,0,256,256,JPEG,RGB,8676,True,8.47265625,/workspace/SDNET2018_LIMPIO/D/UD/7035-119.jpg,D_0
7086-5.jpg,/workspace/SDNET2018/W/UW/7086-5.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,4399,True,4.2958984375,/workspace/SDNET2018_LIMPIO/W/UW/7086-5.jpg,W_0
7089-246.jpg,/workspace/SDNET2018/W/CW/7089-246.jpg,CW,W,Con grieta,1,256,256,JPEG,RGB,4499,True,4.3935546875,/workspace/SDNET2018_LIMPIO/W/CW/7089-246.jpg,W_1
7102-241.jpg,/workspace/SDNET2018/W/UW/7102-241.jpg,UW,W,Sin grieta,0,256,256,JPEG,RGB,6152,True,6.0078125,/workspace/SDNET2018_LIMPIO/W/UW/7102-241.jpg,W_0
